971.738|OI 971|0.0|100000000.0 
972.5368|Lyg|0.029|12700000.0 
977.02|CIII 977|0.767|1760000000.0 
988.5778|OI 988.5|0.000535|400000000.0 
988.6549|OI 988.6|0.00083|400000000.0 
988.7734|OI 988.8|0.0449|400000000.0 
989.799|NIII 990|0.122|500000000.0 
1020.6989|SiII 1020|0.171|1040000000.0 
1025.7223|Lyb 1026|0.079|189700000.0 
1025.76|OI 1026|0.0158|189700000.0 
1031.9261|OVI 1032|0.133|414900000.0 
1036.3367|CII 1036|0.122|2200000000.0 
1037.6167|OVI 1038|0.0661|407600000.0 
1039.2304|OI 1039|0.00904|187000000.0 
1048.2199|ArI 1048|0.244|31800000.0 
1081.935|FeII 1082|3.13e-05|374000000.0 
1083.9937|NII 1084|0.109|374000000.0 
1122.524|FeIII 1122|0.0797|100000000.0 
1134.17|NI 1134.2|0.004|100000000.0 
1134.41|NI 1134.4|0.008|100000000.0 
1134.98|NI 1135|0.012|100000000.0 
1142.3656|FeII 1142|0.005|300000000.0 
1143.226|FeII 1143|0.0133|300000000.0 
1144.9379|FeII 1144|0.105|300000000.0 
1152.818|PII 1153|0.236|1230000000.0 
1190.4158|SiII 1190|0.293|4080000000.0 
1193.2897|SiII 1193|0.584|4070000000.0
1199.5496|NI 1199.5|0.163|407000000.0 
1200.2233|NI 1200.2|0.108|402000000.0 
1200.7098|NI 1200.7|0.0541|400000000.0 
1206.5|SiIII 1206.5|1.68|2480000000.0 
1215.6701|Lya 1216|0.416|626500000.0 
1238.821|NV 1239|0.157|339100000.0 
1242.804|NV 1243|0.078|335600000.0 
1250.58|SII 1250|0.005|100000000.0
1253.8050|SII 1254|0.0103|100000000.0 
1259.52|SII 1259|0.015|100000000.0
1260.4221|SiII 1260|1.18|2950000000.0 
1277.2454|CI 1277|0.107|232000000.0 
1302.1685|OI 1302|0.0504|565000000.0 
1304.3702|SiII 1304|0.0871|1010000000.0 
1334.5323|CII 1334|0.127|288000000.0 
1335.6627|CII* 1335.66|0.0128|100000000.0
1335.7077|CII* 1335.71|0.115|100000000.0
1345.878|NiII 1346|0.00643|100000000.0
1370.1320|NiII 1370|0.131|100000000.0
1393.755|SiIV 1394|0.524|880000000.0 
1402.77|SiIV 1402|0.26|862000000.0 
1526.7066|SiII 1527|0.132|1130000000.0 
1548.195|CIV 1548|0.19|264300000.0 
1550.77|CIV 1550|0.0952|262800000.0 
1560.3092|CI 1560|0.0714|127000000.0 
1608.4511|FeII 1608|0.0619|274000000.0 
1614.566|SiI 1614|0.0293|286000000.0 
1625.7051|SiI 1626|0.0851|286000000.0 
1631.1705|SiI 1631|0.205|286000000.0 
1656.9283|CI 1657|0.148|360000000.0 
1670.7874|AlII 1670|1.81|1390000000.0 
1854.7164|AlIII 1855|0.0|542000000.0 
1862.7895|AlIII 1863|0.0|534000000.0 
2344.214|FeII 2344|0.0|268000000.0 
2374.4612|FeII 2374|0.0313|309000000.0 
2382.765|FeII 2383|0.0|313000000.0 
2484.0205|FeI 2484|0.0|282000000.0 
2586.65|FeII 2586|0.0|272000000.0 
2600.1729|FeII 2600|0.239|270000000.0 
2796.352|MgII 2796|0.0|262500000.0 
2803.531|MgII 2803|0.0|259500000.0 
2852.9642|MgI 2853|0.0|500000000.0 
