     -16     2.9096E-04     2.8891E-04     2.9614E-04     3.0250E-04     3.1001E-04     3.2193E-04     3.2860E-04     3.3131E-04     3.3620E-04     3.4455E-04     3.5422E-04     3.6161E-04
     -15     3.8256E-04     3.8756E-04     3.9602E-04     4.0910E-04     4.2473E-04     4.3396E-04     4.3826E-04     4.4313E-04     4.4840E-04     4.5541E-04     4.6734E-04     4.8934E-04
     -14     5.2102E-04     5.3649E-04     5.5182E-04     5.6083E-04     5.7212E-04     5.8275E-04     5.9213E-04     5.9928E-04     6.1043E-04     6.3932E-04     6.8429E-04     7.3127E-04
     -13     7.3875E-04     7.4775E-04     7.5574E-04     7.6899E-04     7.8234E-04     7.9927E-04     8.3332E-04     8.8016E-04     9.2561E-04     9.6911E-04     1.0118E-03     1.0589E-03
     -12     1.0335E-03     1.0454E-03     1.0565E-03     1.0789E-03     1.1288E-03     1.1986E-03     1.2693E-03     1.3234E-03     1.3708E-03     1.4271E-03     1.4999E-03     1.5882E-03
     -11     1.4775E-03     1.5030E-03     1.5555E-03     1.6316E-03     1.7158E-03     1.7940E-03     1.8807E-03     1.9776E-03     2.0779E-03     2.1748E-03     2.2402E-03     2.2735E-03
     -10     2.2014E-03     2.2823E-03     2.3731E-03     2.4762E-03     2.6117E-03     2.7674E-03     2.9160E-03     3.0028E-03     3.0216E-03     2.9992E-03     2.9572E-03     2.9146E-03
      -9     3.4211E-03     3.5813E-03     3.7553E-03     3.9089E-03     4.0158E-03     4.0451E-03     4.0181E-03     3.9731E-03     3.9426E-03     3.9487E-03     4.0131E-03     4.1001E-03
      -8     5.4228E-03     5.5165E-03     5.5151E-03     5.4622E-03     5.4331E-03     5.4548E-03     5.5230E-03     5.5944E-03     5.6325E-03     5.6359E-03     5.5966E-03     5.4906E-03
      -7     7.7111E-03     7.6567E-03     7.6213E-03     7.6132E-03     7.6114E-03     7.5697E-03     7.4737E-03     7.3066E-03     7.0929E-03     6.8578E-03     6.5911E-03     6.2775E-03
      -6     1.0517E-02     1.0370E-02     1.0205E-02     9.9998E-03     9.7601E-03     9.4930E-03     9.2007E-03     8.8788E-03     8.5515E-03     8.2565E-03     7.9923E-03     7.7585E-03
      -5     1.4379E-02     1.4033E-02     1.3599E-02     1.3121E-02     1.2680E-02     1.2287E-02     1.1960E-02     1.1687E-02     1.1459E-02     1.1262E-02     1.1117E-02     1.1019E-02
      -4     1.9798E-02     1.9173E-02     1.8611E-02     1.8173E-02     1.7876E-02     1.7650E-02     1.7474E-02     1.7255E-02     1.6978E-02     1.6631E-02     1.6278E-02     1.5933E-02
      -3     3.1704E-02     3.1059E-02     3.0356E-02     2.9671E-02     2.9055E-02     2.8455E-02     2.7891E-02     2.7289E-02     2.6683E-02     2.6228E-02     2.5930E-02     2.5853E-02
      -2     6.7724E-02     6.6733E-02     6.5569E-02     6.4575E-02     6.4443E-02     6.4664E-02     6.5255E-02     6.5675E-02     6.6011E-02     6.7433E-02     6.8960E-02     7.0794E-02
      -1     2.0521E-01     2.0844E-01     2.1089E-01     2.1306E-01     2.1581E-01     2.1825E-01     2.2045E-01     2.2177E-01     2.2259E-01     2.2432E-01     2.2535E-01     2.2600E-01
       0     3.3869E-01     3.4208E-01     3.4595E-01     3.4936E-01     3.5175E-01     3.5386E-01     3.5540E-01     3.5753E-01     3.5993E-01     3.6033E-01     3.6087E-01     3.6062E-01
       1     1.6678E-01     1.6462E-01     1.6282E-01     1.6146E-01     1.5976E-01     1.5831E-01     1.5715E-01     1.5646E-01     1.5611E-01     1.5557E-01     1.5545E-01     1.5596E-01
       2     4.7820E-02     4.6272E-02     4.4849E-02     4.3619E-02     4.2410E-02     4.1318E-02     4.0384E-02     3.9652E-02     3.9067E-02     3.8651E-02     3.8126E-02     3.7701E-02
       3     2.4888E-02     2.3929E-02     2.3016E-02     2.2160E-02     2.1315E-02     2.0519E-02     1.9782E-02     1.9108E-02     1.8507E-02     1.7979E-02     1.7414E-02     1.6872E-02
       4     1.6815E-02     1.6560E-02     1.6200E-02     1.5746E-02     1.5199E-02     1.4617E-02     1.4033E-02     1.3465E-02     1.2909E-02     1.2389E-02     1.1875E-02     1.1375E-02
       5     9.8782E-03     9.9994E-03     1.0214E-02     1.0413E-02     1.0499E-02     1.0480E-02     1.0356E-02     1.0169E-02     9.9265E-03     9.6250E-03     9.3355E-03     9.0228E-03
       6     7.0018E-03     6.9324E-03     6.8404E-03     6.7553E-03     6.7139E-03     6.7424E-03     6.8072E-03     6.8750E-03     6.9119E-03     6.8771E-03     6.8063E-03     6.6889E-03
       7     4.8920E-03     5.1218E-03     5.3289E-03     5.4234E-03     5.3576E-03     5.1957E-03     5.0230E-03     4.8940E-03     4.8362E-03     4.8226E-03     4.8344E-03     4.8395E-03
       8     3.2277E-03     3.3771E-03     3.5614E-03     3.7626E-03     3.9395E-03     4.0851E-03     4.1693E-03     4.1673E-03     4.0675E-03     3.9154E-03     3.7685E-03     3.6615E-03
       9     2.2652E-03     2.3253E-03     2.4229E-03     2.5292E-03     2.6226E-03     2.7129E-03     2.8193E-03     2.9565E-03     3.1084E-03     3.2057E-03     3.2440E-03     3.1998E-03
      10     1.5934E-03     1.6762E-03     1.7316E-03     1.7901E-03     1.8462E-03     1.8943E-03     1.9371E-03     1.9873E-03     2.0533E-03     2.1281E-03     2.2263E-03     2.3277E-03
      11     1.0673E-03     1.1482E-03     1.2406E-03     1.3190E-03     1.3647E-03     1.3875E-03     1.4085E-03     1.4318E-03     1.4533E-03     1.4745E-03     1.5053E-03     1.5415E-03
      12     7.8534E-04     8.1549E-04     8.5930E-04     9.1548E-04     9.8695E-04     1.0514E-03     1.0802E-03     1.0859E-03     1.0907E-03     1.0960E-03     1.1008E-03     1.1052E-03
      13     6.1476E-04     6.2608E-04     6.4902E-04     6.7116E-04     6.9400E-04     7.3286E-04     7.8778E-04     8.3731E-04     8.5994E-04     8.5701E-04     8.4956E-04     8.4749E-04
      14     4.8188E-04     4.8821E-04     5.0862E-04     5.2796E-04     5.3698E-04     5.4635E-04     5.6320E-04     5.8991E-04     6.2823E-04     6.6368E-04     6.8399E-04     6.8337E-04
      15     3.7262E-04     3.8104E-04     3.9485E-04     4.1549E-04     4.3162E-04     4.3635E-04     4.3815E-04     4.4441E-04     4.5701E-04     4.7193E-04     4.9729E-04     5.2796E-04
      16     2.8214E-04     2.9364E-04     3.0674E-04     3.2089E-04     3.3676E-04     3.4861E-04     3.5555E-04     3.5763E-04     3.5860E-04     3.6186E-04     3.6980E-04     3.8044E-04
