rel pix           1150           1200           1250           1300           1350           1400           1450
    -16     3.2440E-04     3.0696E-04     2.9737E-04     2.9095E-04     2.9210E-04     2.9073E-04     2.9752E-04
    -15     3.8669E-04     3.7611E-04     3.7337E-04     3.7534E-04     3.7957E-04     3.8777E-04     3.9664E-04
    -14     4.9424E-04     4.8748E-04     4.9138E-04     4.9946E-04     5.0162E-04     4.9618E-04     4.9861E-04
    -13     6.6403E-04     6.5769E-04     6.5991E-04     6.5181E-04     6.4656E-04     6.6074E-04     6.7829E-04
    -12     9.0469E-04     8.7591E-04     8.6943E-04     8.8425E-04     9.0830E-04     9.3405E-04     9.6293E-04
    -11     1.2435E-03     1.2232E-03     1.2378E-03     1.2638E-03     1.3070E-03     1.3569E-03     1.3898E-03
    -10     1.8147E-03     1.7926E-03     1.8146E-03     1.8666E-03     1.9455E-03     2.0338E-03     2.1491E-03
     -9     2.6779E-03     2.6806E-03     2.7548E-03     2.8965E-03     3.0873E-03     3.2752E-03     3.3775E-03
     -8     4.1522E-03     4.2533E-03     4.4574E-03     4.6620E-03     4.8436E-03     4.9736E-03     5.0700E-03
     -7     6.6711E-03     6.7903E-03     6.9351E-03     7.0476E-03     7.1298E-03     7.0776E-03     6.7688E-03
     -6     1.0136E-02     1.0095E-02     1.0013E-02     9.8187E-03     9.5009E-03     9.1539E-03     8.8845E-03
     -5     1.4175E-02     1.3883E-02     1.3688E-02     1.3489E-02     1.3284E-02     1.3068E-02     1.2654E-02
     -4     2.0940E-02     2.0450E-02     2.0003E-02     1.9383E-02     1.8713E-02     1.8183E-02     1.7837E-02
     -3     3.3871E-02     3.2392E-02     3.1477E-02     3.0608E-02     2.9698E-02     2.8938E-02     2.8421E-02
     -2     6.8260E-02     6.6934E-02     6.6967E-02     6.6317E-02     6.4496E-02     6.3169E-02     6.3236E-02
     -1     1.8021E-01     1.8116E-01     1.8355E-01     1.8515E-01     1.8604E-01     1.8709E-01     1.8739E-01
      0     3.0275E-01     3.0944E-01     3.1379E-01     3.1868E-01     3.2633E-01     3.3183E-01     3.3061E-01
      1     1.8966E-01     1.9010E-01     1.8954E-01     1.8911E-01     1.8926E-01     1.9031E-01     1.9435E-01
      2     6.8494E-02     6.5095E-02     6.3098E-02     6.1156E-02     5.8263E-02     5.5601E-02     5.6094E-02
      3     3.3021E-02     3.0928E-02     2.9313E-02     2.7930E-02     2.6646E-02     2.5526E-02     2.5014E-02
      4     2.0022E-02     1.9560E-02     1.8899E-02     1.8170E-02     1.7460E-02     1.6740E-02     1.6256E-02
      5     1.2254E-02     1.2157E-02     1.2149E-02     1.2114E-02     1.2024E-02     1.1915E-02     1.1660E-02
      6     8.1878E-03     8.2367E-03     8.1705E-03     8.0699E-03     7.9723E-03     7.9150E-03     7.8713E-03
      7     5.6030E-03     5.7672E-03     5.9196E-03     5.9766E-03     5.9200E-03     5.8020E-03     5.6489E-03
      8     4.1797E-03     4.0746E-03     4.0808E-03     4.1473E-03     4.1870E-03     4.1344E-03     3.9505E-03
      9     3.1465E-03     3.1537E-03     3.0672E-03     2.9947E-03     2.9587E-03     2.9494E-03     2.8848E-03
     10     2.0891E-03     2.2607E-03     2.3544E-03     2.3456E-03     2.2940E-03     2.2478E-03     2.1842E-03
     11     1.4648E-03     1.5208E-03     1.6016E-03     1.6870E-03     1.7234E-03     1.7199E-03     1.6550E-03
     12     1.0936E-03     1.1192E-03     1.1326E-03     1.1487E-03     1.1619E-03     1.1640E-03     1.1207E-03
     13     8.1453E-04     8.4675E-04     8.5569E-04     8.5400E-04     8.4423E-04     8.2057E-04     7.6268E-04
     14     6.1272E-04     6.3680E-04     6.4952E-04     6.5263E-04     6.4087E-04     6.2177E-04     5.7167E-04
     15     4.5425E-04     4.8111E-04     4.9456E-04     4.9687E-04     4.9275E-04     4.7763E-04     4.4135E-04
     16     3.5040E-04     3.6450E-04     3.7634E-04     3.8454E-04     3.8020E-04     3.6765E-04     3.4128E-04
