rel pix           1450           1500           1550           1600           1650           1700           1750
    -16     2.6973E-04     2.7481E-04     2.7364E-04     2.7031E-04     2.6845E-04     2.6705E-04     2.6922E-04
    -15     3.5154E-04     3.4976E-04     3.4726E-04     3.4926E-04     3.5274E-04     3.5744E-04     3.5763E-04
    -14     4.5306E-04     4.5574E-04     4.6301E-04     4.6988E-04     4.7487E-04     4.8250E-04     4.9371E-04
    -13     6.0463E-04     6.2143E-04     6.3325E-04     6.4731E-04     6.6052E-04     6.8163E-04     6.9902E-04
    -12     8.3779E-04     8.6809E-04     8.9687E-04     9.2548E-04     9.5467E-04     9.8005E-04     9.9744E-04
    -11     1.2182E-03     1.2660E-03     1.3234E-03     1.3847E-03     1.4344E-03     1.5036E-03     1.5946E-03
    -10     1.8051E-03     1.9365E-03     2.0555E-03     2.1548E-03     2.2645E-03     2.3992E-03     2.4724E-03
     -9     2.9618E-03     3.1345E-03     3.2797E-03     3.4031E-03     3.4829E-03     3.5339E-03     3.5594E-03
     -8     4.6214E-03     4.7733E-03     4.8373E-03     4.8336E-03     4.8133E-03     4.7532E-03     4.5888E-03
     -7     6.7059E-03     6.6589E-03     6.5577E-03     6.4208E-03     6.2204E-03     5.9293E-03     5.5907E-03
     -6     8.5967E-03     8.4666E-03     8.3554E-03     8.2433E-03     8.0835E-03     7.9512E-03     7.8438E-03
     -5     1.1989E-02     1.1997E-02     1.1827E-02     1.1522E-02     1.1207E-02     1.0917E-02     1.0704E-02
     -4     1.7494E-02     1.6724E-02     1.6018E-02     1.5450E-02     1.4984E-02     1.4584E-02     1.4222E-02
     -3     2.6777E-02     2.6468E-02     2.6381E-02     2.6053E-02     2.5303E-02     2.4304E-02     2.2938E-02
     -2     5.6549E-02     5.6244E-02     5.5970E-02     5.5013E-02     5.3533E-02     5.2134E-02     5.1326E-02
     -1     1.7619E-01     1.7573E-01     1.7590E-01     1.7633E-01     1.7699E-01     1.7882E-01     1.8187E-01
      0     3.2021E-01     3.2660E-01     3.2877E-01     3.3214E-01     3.3611E-01     3.4081E-01     3.4253E-01
      1     2.0809E-01     2.0900E-01     2.0910E-01     2.0975E-01     2.1150E-01     2.1246E-01     2.1534E-01
      2     6.8068E-02     6.5093E-02     6.4560E-02     6.3906E-02     6.2886E-02     6.0858E-02     6.1654E-02
      3     2.7114E-02     2.5843E-02     2.5117E-02     2.4396E-02     2.3509E-02     2.2219E-02     2.1046E-02
      4     1.6751E-02     1.5792E-02     1.5078E-02     1.4483E-02     1.3978E-02     1.3380E-02     1.2587E-02
      5     1.2451E-02     1.2129E-02     1.1645E-02     1.1088E-02     1.0544E-02     9.9967E-03     9.4087E-03
      6     8.4522E-03     8.5117E-03     8.5611E-03     8.5409E-03     8.4355E-03     8.2460E-03     7.8914E-03
      7     6.2209E-03     6.0737E-03     5.9910E-03     5.9559E-03     5.9075E-03     5.8113E-03     5.6760E-03
      8     4.8332E-03     4.9275E-03     4.8730E-03     4.7302E-03     4.5669E-03     4.3807E-03     4.1948E-03
      9     3.4053E-03     3.6620E-03     3.8660E-03     3.9430E-03     3.8707E-03     3.6708E-03     3.4317E-03
     10     2.3543E-03     2.4439E-03     2.6060E-03     2.7753E-03     2.8622E-03     2.7877E-03     2.6208E-03
     11     1.7750E-03     1.7806E-03     1.7917E-03     1.8190E-03     1.8417E-03     1.8060E-03     1.7453E-03
     12     1.3636E-03     1.3802E-03     1.3738E-03     1.3579E-03     1.3180E-03     1.2363E-03     1.1656E-03
     13     9.8668E-04     1.0576E-03     1.0839E-03     1.0672E-03     1.0264E-03     9.5382E-04     8.8020E-04
     14     7.1993E-04     7.6568E-04     8.1214E-04     8.3587E-04     8.1810E-04     7.6967E-04     6.9201E-04
     15     5.4358E-04     5.7574E-04     6.0008E-04     6.1195E-04     6.1175E-04     5.9551E-04     5.4188E-04
     16     4.1427E-04     4.3712E-04     4.5848E-04     4.6673E-04     4.6395E-04     4.4348E-04     3.9878E-04
